dco_number,document_number,document_title,from_rev,to_rev,change_description,originator,date_requested,effective_date,impact_assessments
007,TMP1-QM.SLQ005,Design Project Plan Template,A,A,,D. Porter,2021-08-24,,
007,TMP1-QM.SLQ006,User Needs (Design Input) Template,A,A,,D. Porter,2021-08-24,,
007,TMP1-QM.SLQ007,Source Control Specification Template,A,A,,D. Porter,2021-08-24,,
007,TMP1-QM.SLQ009,Design Verification/Validation Test Plan Template,A,A,,D. Porter,2021-08-24,,
007,TMP1-QM.SLQ010,Clinical Transfer Checklist Template,A,A,,D. Porter,2021-08-24,,
007,TMP1-QM.SLQ012,Risk Management Plan Template,B,B,,D. Porter,2021-08-24,,
007,TMP1-QM.SLQ013,Preliminary Hazard Analysis Template,B,B,,D. Porter,2021-08-24,,
007,TMP2-QM.SLQ006,Product Requirements (Design Input) Template,A,A,,D. Porter,2021-08-24,,
007,TMP2-QM.SLQ007,Design Input / Output Matrix Template,A,A,,D. Porter,2021-08-24,,
007,TMP2-QM.SLQ009,Design Verification/Validation Protocol Template,A,A,,D. Porter,2021-08-24,,
007,TMP2-QM.SLQ010,Design Transfer Checklist Template,A,A,,D. Porter,2021-08-24,,
007,TMP2-QM.SLQ013,Hazard Analysis Table Template,B,B,,D. Porter,2021-08-24,,
007,TMP3-QM.SLQ009,Design Verification/Validation Final Report Template,A,A,,D. Porter,2021-08-24,,
007,TMP3-QM.SLQ013,FMEA Worksheet Template,A,A,,D. Porter,2021-08-24,,
008,VV.SLQ008,"Test Protocol, Saline Soak Stability Experiment, Silq Surface Treatment",-,A,,E. Rao,2022-03-13,2022-03-17,
009,FM1-QM.SLQ029,DHR Review and Approval Form,-,A,,B. Wong,2022-03-15,2022-03-17,
009,FM2-QM.SLQ003,Employee Training Record Form,A,B,,B. Wong,2022-03-15,2022-03-17,
009,FM6-QM.SLQ015,Approved Supplier List Form,A,B,,B. Wong,2022-03-15,2022-03-17,
009,QM.SLQ003,Employee Training SOP,A,B,,B. Wong,2022-03-15,2022-03-17,Training
009,QM.SLQ016,CAPA SOP,A,B,,B. Wong,2022-03-15,2022-03-17,Training
009,QM.SLQ029,Device History Record (DHR) Review and Approval SOP,-,A,,B. Wong,2022-03-15,2022-03-17,Training
010,VV.SLQ002,"Test Protocol, Crystal Violet Absorbance, Silq Surface Treatment",-,A,,E. Rao,2022-03-16,2022-03-22,
010,VV.SLQ003,"Test Protocol, Coating Adherence Verification, Silq Surface Treatment",-,A,,E. Rao,2022-03-16,2022-03-22,
010,VV.SLQ004,"Test Protocol, Lubricity Durability Study, Silq Surface Treatment",-,A,,E. Rao,2022-03-16,2022-03-22,
011,VV.SLQ001,"Test Report, In-Vitro Bacterial Adhesion Comparative Study",-,A,,E. Rao,2022-03-16,2022-03-22,
011,VV.SLQ005,"Test Report, Crystal Violet Absorbance, Silq Surface Treatment",-,A,,E. Rao,2022-03-16,2022-03-22,
011,VV.SLQ006,"Test Report, Coating Adherence Verification, Silq Surface Treatment",-,A,,E. Rao,2022-03-16,2022-03-22,
011,VV.SLQ007,"Test Report, Lubricity Durability Study, Silq Surface Treatment",-,A,,E. Rao,2022-03-16,2022-03-22,
012,FM1-QM.SLQ036,Sales Order Form,-,A,,B. Wong,2022-03-17,2022-03-17,
012,QM.SLQ034,Organization Chart,A,B,,B. Wong,2022-03-17,2022-03-17,
012,QM.SLQ036,Sales Order SOP,-,A,,B. Wong,2022-03-17,2022-03-17,Training
013,FM1-QM.SLQ017,Internal Quality Audit Schedule Form,A,B,,B. Wong,2022-03-18,2022-03-21,
013,FM1-QM.SLQ020,Purchase Order Form,A,B,,B. Wong,2022-03-18,2022-03-21,
013,QM.SLQ019,Identification & Traceability SOP,A,B,,B. Wong,2022-03-18,2022-03-21,Training
013,QM.SLQ020,Purchasing Controls SOP,A,B,,B. Wong,2022-03-18,2022-03-21,Training
013,QM.SLQ048,Device Master Record SOP,-,A,,B. Wong,2022-03-18,2022-03-21,Training
014,FM1-QM.SLQ021,Product Complaint File (PCF),A,B,,B. Wong,2022-03-22,2022-03-28,
014,QM.SLQ021,Product Complaint System SOP,A,B,,B. Wong,2022-03-22,2022-03-28,Training
014,QM.SLQ034,Organization Chart,B,C,,B. Wong,2022-03-22,2022-03-28,
015,QM.SLQ014,Electronic Document System Work Instruction,A,B,,B. Wong,2022-03-25,2022-03-28,Training
016,SW.SLQ001,"Software Validation Plan, FileHold",-,A,,B. Wong,2022-03-28,2022-03-28,
016,SW.SLQ002,"Product Requirements Specifiation, FileHold",-,A,,B. Wong,2022-03-28,2022-03-28,
016,SW.SLQ003,"Software Verification Test Plan, FileHold",-,A,,B. Wong,2022-03-28,2022-03-28,
016,SW.SLQ004,"Software Verification Test Procedure, FileHold",-,A,,B. Wong,2022-03-28,2022-03-28,
017,QM.SLQ036,Sales Order SOP,A,B,,B. Wong,2022-03-29,2022-04-04,Training
018,SW.SLQ005,"Software Validation Report, FileHold",-,A,,B. Wong,2022-04-01,2022-04-04,
018,SW.SLQ006,"Requirements Traceability Matrix, FileHold",-,A,,B. Wong,2022-04-01,2022-04-04,
019,L.SLQ001,ClearTract 2 Way Foley Catheter Brochure,-,A,,V. Sharma,2022-04-08,2022-04-19,
020,VV.SLQ009,"Test Report, Saline Soak Stability Experiment, Silq Surface Treatment",-,A,,B. Wong,2022-04-25,2022-04-29,
021,QM.SLQ036,Sales Order SOP,B,C,,B. Wong,2022-05-20,2022-05-23,Training
022,QM.SLQ026,Part Number Assignment Work Instruction,A,B,,B. Wong,2022-07-19,2022-07-25,Training
023,SP-L.SLQ002,"Specification - Instructions for Use, ClearTract Catheter",-,A,,B. Wong,2022-07-22,2022-07-26,
023,SP-L.SLQ003,"Specification - Artwork, Label, 2-way ClearTract 16 Fr x 10 ml Catheter, Pouch and Box",-,A,,B. Wong,2022-07-22,2022-07-26,
023,SP-L.SLQ004,"Specification - Artwork, Label, 2-way ClearTract 16 Fr x 10 ml Catheter, Shipper Box",-,A,,B. Wong,2022-07-22,2022-07-26,
024,QM.SLQ034,Organization Chart,C,D,,B. Wong,2022-07-26,2022-07-29,
025,FM1-QM.SLQ050,Equipment Master List,-,A,,B. Wong,2022-07-27,2022-07-30,
025,FM2-QM.SLQ050,Equipment Requirements Form,-,A,,B. Wong,2022-07-27,2022-07-30,
025,FM3-QM.SLQ050,Equipment Service Log,-,A,,B. Wong,2022-07-27,2022-07-30,
025,FM4-QM.SLQ050,Unscheduled Maintenance / CAL Out of Tolerance Investigation Form,-,A,,B. Wong,2022-07-27,2022-07-30,
025,FM5-QM.SLQ050,Tag Out Information Form,-,A,,B. Wong,2022-07-27,2022-07-30,
025,FM6-QM.SLQ050,Tag Out Tag Form,-,A,,B. Wong,2022-07-27,2022-07-30,
025,QM.SLQ047,Process Validation SOP,-,A,,B. Wong,2022-07-27,2022-07-30,Training
025,QM.SLQ050,Calibration and Preventive Maintenance SOP,-,A,,B. Wong,2022-07-27,2022-07-30,Training
026,SP-L.SLQ002,"Specification - Instructions for Use, ClearTract Catheter",A,B,,B. Wong,2022-07-27,2022-10-07,
026,SP-L.SLQ003,"Specification - Artwork, Label, 2-way ClearTract 16 Fr x 10 ml Catheter, Pouch",A,B,,B. Wong,2022-07-27,2022-10-07,
026,SP-L.SLQ004,"Specification - Artwork, Label, 2-way ClearTract 16 Fr x 10 ml Catheter, Shipper Box",A,B,,B. Wong,2022-07-27,2022-10-07,
026,SP-L.SLQ006,"Specification - Artwork, Label, 2-way ClearTract 16 Fr x 10 ml Catheter, Carton",-,A,,B. Wong,2022-07-27,2022-10-07,
027,SP-E.SLQ001,"Source Control Specification, Portable Exchange Deionizer (PEDI) System",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ002,"Source Control Specification, High Purity Water Tank Assembly, 750 gallon",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ003,"Source Control Specification, Waste Diaphragm Pump",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ004,"Source Control Specification, Waste Tank Assembly, 500 gallon",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ006,"Source Control Specification, Diafiltration System, KrosFlo KTF-2000 System",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ007,"Source Control Specification, Pneumatic Drum Stirrer",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ008,"Source Control Specification, Fume Hood",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ009,"Source Control Specification, Concentrate Reactor",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ010,"Source Control Specification, Floor Scale, Concentrate Reactor",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ011,"Source Control Specification, Peristaltic Pump, Large Flow",-,A,,B. Wong,2022-08-11,2022-08-12,
027,SP-E.SLQ012,"Source Control Specification, Floor Scale, Suspension",-,A,,B. Wong,2022-08-11,2022-08-12,
028,QM.SLQ002,Good Documentation Practices SOP,A,B,,B. Wong,2022-08-17,2022-08-24,Training
029,QM.SLQ049,Workstation Practices SOP,-,A,,B. Wong,2022-08-24,2022-08-29,Training
030,SP-M.SLQ001,"Source Control Specification, Polymeric Dispersion Solution, Unpurified, CHEMPSBTCI010",-,A,,B. Wong,2022-08-26,2022-08-29,
031,SP-C.SLQ001,"Source Control Specification, Suspension",-,A,,B. Wong,2022-09-06,2022-09-13,
032,SP-E.SLQ006,"Source Control Specification, Diafiltration System, KrosFlow KTF-2000 System",A,B,,B. Wong,2022-09-15,2022-09-16,
032,SP-E.SLQ013,"Source Control Specification, Weighing Scale",-,A,,B. Wong,2022-09-15,2022-09-16,
032,SP-S.SLQ002,"Source Control Specification, Centrifuge Tube, 50mL, Polypropylene, Flat Cap",-,A,,B. Wong,2022-09-15,2022-09-16,
032,SP-S.SLQ003,"Source Control Specification, Container, 8.5in x 18in x 6in",-,A,,B. Wong,2022-09-15,2022-09-16,
032,SP-S.SLQ004,"Source Control Specification, Syringe, 10mL",-,A,,B. Wong,2022-09-15,2022-09-16,
032,SP-S.SLQ005,"Source Control Specification, pH Strip",-,A,,B. Wong,2022-09-15,2022-09-16,
032,SP-S.SLQ006,"Source Control Specification, Deuterium Oxide",-,A,,B. Wong,2022-09-15,2022-09-16,
033,FM1-QM.SLQ039,Basic Receiving Inspection Form,A,B,,B. Wong,2022-09-19,2022-09-23,
033,QM.SLQ039,Receiving Inspection SOP,A,B,,B. Wong,2022-09-19,2022-09-23,Training
033,QM.SLQ045,Receiving SOP,-,A,,B. Wong,2022-09-19,2022-09-23,Training
033,TMP1-QM.SLQ045,Quarantine Label Template,-,A,,B. Wong,2022-09-19,2022-09-23,
034,MP-C.SLQ001,"Manufacturing Procedure, Suspension Processing",-,A,,B. Wong,2022-09-22,2022-09-23,Training
034,QC-C.SLQ001,"Quality Control Procedure, Suspension Analysis",-,A,,B. Wong,2022-09-22,2022-09-23,Training
034,TMP1-QC-C.SLQ001,"Template, Suspension Quality Control Report",-,A,,B. Wong,2022-09-22,2022-09-23,
034,TMP2-QC-C.SLQ001,Certificate of Analysis Template,-,A,,B. Wong,2022-09-22,2022-09-23,
034,TR-C.SLQ001,Suspension Processing Traveler,-,A,,B. Wong,2022-09-22,2022-09-23,
035,SP-C.SLQ001,"Source Control Specification, Suspension",A,B,,B. Wong,2022-09-22,2022-09-23,
035,SP-E.SLQ008,"Source Control Specification, Fume Hood",A,B,,B. Wong,2022-09-22,2022-09-23,
035,SP-S.SLQ001,"Source Control Specification, High Purity Water",-,A,,B. Wong,2022-09-22,2022-09-23,
035,SP-S.SLQ007,"Source Control Specification, Bleach",-,A,,B. Wong,2022-09-22,2022-09-23,
036,SP-M.SLQ001,"Source Control Specification, Polymeric Dispersion Solution, Unpurified",A,B,,B. Wong,2022-09-27,2022-09-28,
037,OM.SLQ001,"Operations Manufacturing Procedure, Fume Hood",-,A,,B. Wong,2022-09-27,2022-09-28,Training
038,BOM-C.SLQ001,"Bill of Materials, Suspension",-,B,,B. Wong,2022-10-03,2022-10-04,
038,BOR-C.SLQ001,"Bill of Reference, Suspension",-,A,,B. Wong,2022-10-03,2022-10-04,
